State,Raw_Dataset_Score,Dataset_Risk_0_100,Dataset_Contribution_20pct
UTTAR PRADESH,12.453306286671706,100.0,20.0
MADHYA PRADESH,11.543268722353622,92.69240197446952,18.538480394893906
MAHARASHTRA,10.993069226074201,88.27430220550875,17.65486044110175
ANDHRA PRADESH,10.412145511943983,83.60948708928568,16.721897417857136
TAMIL NADU,7.444353593182558,59.77812977385742,11.955625954771484
RAJASTHAN,6.89545070238402,55.3704417417562,11.074088348351241
WEST BENGAL,5.992763162834984,48.12186438591659,9.624372877183319
KARNATAKA,5.966667812302015,47.91231882482413,9.582463764964826
ASSAM,5.830641886310313,46.82003117959625,9.36400623591925
KERALA,5.114638997831252,41.07053083007565,8.21410616601513
ODISHA,5.0322868155019,40.40924313318916,8.081848626637832
BIHAR,4.930423246069038,39.59127907538804,7.9182558150776075
HARYANA,3.9209767972781995,31.48542810253266,6.297085620506532
PUNJAB,3.6891518661980256,29.623874827092166,5.924774965418433
CHHATTISGARH,3.275810686054003,26.304746792905725,5.260949358581145
DELHI UT,2.8466877946924516,22.858891680349593,4.571778336069919
JHARKHAND,2.7541207461028403,22.115578647980975,4.423115729596195
GUJARAT,2.545355296363944,20.439192916086384,4.087838583217277
TELANGANA,2.304064819539121,18.501631345926764,3.700326269185353
JAMMU & KASHMIR,1.8445813235716264,14.81198069901975,2.9623961398039502
TRIPURA,1.7811741239551204,14.302821138041407,2.8605642276082817
UTTARAKHAND,1.5894261267934264,12.763085482724598,2.5526170965449198
NAGALAND,1.1969063278844259,9.611153057123701,1.9222306114247403
SIKKIM,0.8643421984338017,6.940664419045678,1.3881328838091358
HIMACHAL PRADESH,0.7324085357206854,5.881237631684639,1.1762475263369279
D&N HAVELI,0.5132953103177054,4.1217593023233166,0.8243518604646634
GOA,0.2746160380484788,2.2051656943697733,0.4410331388739547
MEGHALAYA,0.21065567755206657,1.6915642537237139,0.3383128507447428
DAMAN AND DIU,0.2019448002116076,1.6216159432916328,0.3243231886583266
MANIPUR,0.1639979483481162,1.3169028736058381,0.26338057472116766
ARUNACHAL PRADESH,0.16245851159330288,1.304541202581486,0.2609082405162972
CHANDIGARH,0.14543363064057802,1.1678314761777764,0.23356629523555528
MIZORAM,0.1370888559155492,1.1008229682929274,0.22016459365858548
ANDAMAN AND NICOBAR ISLANDS,0.07075472561373,0.5681601655413876,0.11363203310827752
PUDUCHERRY,0.06922185514223106,0.5558512217459595,0.1111702443491919
DADRA AND NAGAR HAVELI,0.006829906113207022,0.054844118951099814,0.010968823790219963
LAKSHADWEEP,0.0025613507287558816,0.020567636174637388,0.004113527234927478
